ID,POINT_X,POINT_Y
4568,-80.96030000000,36.21490000000
4675,-80.96030000000,36.21490000000
6892,-80.87508400000,37.47345400000
8474,-80.65590626380,37.03929350920
8688,-80.65590626380,37.03929350920
14923,-81.30583000000,36.61472000000
14932,-81.43972000000,36.31556000000
15102,-81.32027000000,36.62639000000
15124,-80.90416666670,37.17916666670
15136,-80.86083000000,37.37277600000
15158,-80.87916666670,37.15416666670
15199,-81.82083333330,36.23750000000
15218,-81.11111500000,37.43333400000
15226,-81.38750000000,36.51250000000
15258,-81.17194000000,37.05472000000
15342,-81.89583333330,36.85416666670
15361,-81.62609863000,36.42944717000
15501,-81.07916666670,36.51250000000
15648,-81.82163000000,36.23943000000
15736,-80.77083333330,37.17083333330
15746,-80.88702000000,36.93948000000
15797,-81.78639000000,36.21667000000
15848,-81.14600000000,36.15410000000
15862,-81.04500000000,36.67139000000
15949,-81.78750000000,36.22083333330
15991,-81.74549866000,36.19440079000
16050,-80.86141000000,37.37226000000
16101,-81.40778000000,36.39444000000
16118,-81.40998000000,36.51868000000
16214,-81.14600372000,36.15409851000
16228,-80.73833000000,37.20639000000
16252,-80.62722000000,36.78777700000
16346,-81.15029907000,36.56890106000
16384,-81.43972000000,36.31556000000
16431,-81.10423000000,36.56817200000
16438,-81.15050000000,36.56890000000
16440,-81.63987000000,36.22055000000
16454,-81.87083333330,37.24583333330
16549,-81.30583000000,36.61472000000
16556,-81.82083333330,36.23750000000
16560,-80.87257000000,36.43434000000
16588,-81.77820000000,36.20911000000
16603,-81.50551185430,36.16546485210
16622,-81.51250000000,36.43750000000
16706,-81.53470000000,37.36280000000
16774,-81.15030000000,36.56890000000
16829,-81.18179000000,36.55176500000
16860,-81.03810120000,36.52339935000
16896,-81.18250000000,36.55140000000
16899,-81.07916666670,36.51250000000
17012,-81.86250000000,36.27916666670
17067,-81.36500000000,37.13111000000
17123,-81.32059000000,36.49675000000
17141,-81.36500000000,37.13111000000
17144,-81.74550000000,36.19440000000
17172,-81.92420000000,36.82738000000
17185,-81.90793143490,36.19367615900
17201,-81.03810000000,36.52340000000
17217,-81.13611000000,36.21916600000
17259,-81.19583333330,36.57083333330
17267,-81.33667000000,36.47361000000
17332,-81.30750000000,36.60417000000
17503,-81.61442000000,36.44351600000
